[seg_len=2,hop=1]

ours: 0.7142, 0.1862
polyff_phl: 0.6117, 0.1162
train: 1.0000, 0.0000
val: 0.6567, 0.1141
remi_phl: 0.6088, 0.1053
copybot: 0.7108, 0.1159

ours_new_epoch3: 0.6227, 0.1012
ours_new_epoch5: 0.6026, 0.1024
ours_new_epoch10: 0.6834, 0.1143
ours_new_epoch15: 0.6681, 0.1241
ours_new_epoch20: 0.6530, 0.1321

fig2_melacc.mid: 0.5846, 0.0917
more1_0.mid: 0.5770, 0.1262
more1_1.mid: 0.5462, 0.0880
more2_0.mid: 0.7867, 0.1996
more2_1.mid: 0.6476, 0.0817
more3_0.mid: 0.5949, 0.0434
more3_1.mid: 0.6050, 0.0976

[seg_len=1,hop=1]

ours: 0.8446, 0.1319
polyff_phl: 0.7950, 0.1212
train: 1.0000, 0.0000
val: 0.8401, 0.1190
remi_phl: 0.7839, 0.1091
copybot: 1.0000, 0.0000

ours_new_epoch3: 0.8126, 0.1116
ours_new_epoch5: 0.7953, 0.1116
ours_new_epoch10: 0.8498, 0.1112
ours_new_epoch15: 0.8401, 0.1087
ours_new_epoch20: 0.8200, 0.1200

fig2_melacc.mid: 0.7855, 0.0953
more1_0.mid: 0.7146, 0.1078
more1_1.mid: 0.7242, 0.1017
more2_0.mid: 0.8852, 0.1299
more2_1.mid: 0.8348, 0.1153
more3_0.mid: 0.7790, 0.0769
more3_1.mid: 0.7893, 0.1009

[seg_len=3,hop=1]

ours: 0.6471, 0.2143
polyff_phl: 0.5168, 0.1107
train: 1.0000, 0.0000
val: 0.5569, 0.1060
remi_phl: 0.5312, 0.1098
copybot: 0.5620, 0.1056

ours_new_epoch3: 0.5295, 0.0994
ours_new_epoch5: 0.5126, 0.1028
ours_new_epoch10: 0.5823, 0.1094
ours_new_epoch15: 0.5822, 0.1325
ours_new_epoch20: 0.5634, 0.1352

fig2_melacc.mid: 0.4913, 0.0937
more1_0.mid: 0.5087, 0.1369
more1_1.mid: 0.4809, 0.0875
more2_0.mid: 0.7409, 0.2426
more2_1.mid: 0.5278, 0.0780
more3_0.mid: 0.5276, 0.0702
more3_1.mid: 0.5353, 0.1182

copybot_z.mid: 0.7856, 0.1905 # 0.1
copybot_z.mid: 0.7497, 0.1854 # 0.15
copybot_z.mid: 0.7005, 0.1699 # 0.2

copybot_z.mid: 0.6888, 0.1628 # 0.15, 0.25
